,name,lat,lon
0,Centre,41.54089,2.44655
1,Cerdanyola,41.54182,2.423133
2,Cirera,41.54837,2.433734
3,Eixample,41.538017,2.442038
4,El Palau-Escorxador,41.545,2.458
5,Els Molins,41.548824,2.441955
6,La Llàntia,41.546494,2.429222
7,Peramàs-Esmandies,41.538334,2.431424
8,Pla d´en Boet,41.533012,2.43179
9,Rocafonda,41.548084,2.448999
10,Vista Alegre,41.553223,2.440809
